episode_reward,nb_episode_steps,nb_steps
-69.0,70,107661
-85.0,86,107747
-74.0,75,107822
-70.0,71,107893
-90.0,91,107984
-89.0,90,108074
-88.0,89,108163
-78.0,79,108242
-87.0,88,108330
-70.0,71,108401
-93.0,94,108495
-78.0,79,108574
-78.0,79,108653
-92.0,93,108746
-86.0,87,108833
-90.0,91,108924
-87.0,88,109012
-96.0,97,109109
-81.0,82,109191
-98.0,99,109290
-105.0,106,109396
-89.0,90,109486
-92.0,93,109579
-81.0,82,109661
-86.0,87,109748
-82.0,83,109831
-96.0,97,109928
-91.0,92,110020
-95.0,96,110116
-93.0,94,110210
-70.0,71,110281
-90.0,91,110372
-74.0,75,110447
-94.0,95,110542
-66.0,67,110609
-77.0,78,110687
-77.0,78,110765
-98.0,99,110864
-68.0,69,110933
-75.0,76,111009
-73.0,74,111083
-91.0,92,111175
-94.0,95,111270
-92.0,93,111363
-90.0,91,111454
-76.0,77,111531
-89.0,90,111621
-73.0,74,111695
-76.0,77,111772
-84.0,85,111857
-74.0,75,111932
-62.0,63,111995
-82.0,83,112078
-69.0,70,112148
-77.0,78,112226
-70.0,71,112297
-93.0,94,112391
-75.0,76,112467
-84.0,85,112552
-71.0,72,112624
-88.0,89,112713
-90.0,91,112804
-128.0,129,112933
-81.0,82,113015
-96.0,97,113112
-90.0,91,113203
-97.0,98,113301
-81.0,82,113383
-105.0,106,113489
-90.0,91,113580
-81.0,82,113662
-83.0,84,113746
-67.0,68,113814
-98.0,99,113913
-88.0,89,114002
-77.0,78,114080
-79.0,80,114160
-70.0,71,114231
-92.0,93,114324
-88.0,89,114413
-82.0,83,114496
-106.0,107,114603
-94.0,95,114698
-77.0,78,114776
-96.0,97,114873
-75.0,76,114949
-75.0,76,115025
-81.0,82,115107
-91.0,92,115199
-82.0,83,115282
-89.0,90,115372
-166.0,167,115539
-87.0,88,115627
-74.0,75,115702
-73.0,74,115776
-83.0,84,115860
-77.0,78,115938
-99.0,100,116038
-77.0,78,116116
-76.0,77,116193
-72.0,73,116266
-80.0,81,116347
-120.0,121,116468
-99.0,100,116568
-86.0,87,116655
-77.0,78,116733
-90.0,91,116824
-81.0,82,116906
-86.0,87,116993
-97.0,98,117091
-72.0,73,117164
-81.0,82,117246
-75.0,76,117322
-110.0,111,117433
-134.0,135,117568
-82.0,83,117651
-92.0,93,117744
-115.0,116,117860
-65.0,66,117926
-80.0,81,118007
-88.0,89,118096
-81.0,82,118178
-108.0,109,118287
-115.0,116,118403
-88.0,89,118492
-105.0,106,118598
-74.0,75,118673
-78.0,79,118752
-93.0,94,118846
-78.0,79,118925
-76.0,77,119002
-95.0,96,119098
-75.0,76,119174
-92.0,93,119267
-87.0,88,119355
-81.0,82,119437
-75.0,76,119513
-84.0,85,119598
-78.0,79,119677
-68.0,69,119746
-156.0,157,119903
-93.0,94,119997
-75.0,76,120073
-75.0,76,120149
-98.0,99,120248
-71.0,72,120320
-78.0,79,120399
-81.0,82,120481
-73.0,74,120555
-75.0,76,120631
-80.0,81,120712
-75.0,76,120788
-70.0,71,120859
-99.0,100,120959
-92.0,93,121052
-76.0,77,121129
-81.0,82,121211
-92.0,93,121304
-131.0,132,121436
-76.0,77,121513
-74.0,75,121588
-67.0,68,121656
-61.0,62,121718
-70.0,71,121789
-80.0,81,121870
-83.0,84,121954
-102.0,103,122057
-68.0,69,122126
-97.0,98,122224
-100.0,101,122325
-116.0,117,122442
-101.0,102,122544
-69.0,70,122614
-74.0,75,122689
-71.0,72,122761
-62.0,63,122824
-82.0,83,122907
-75.0,76,122983
-62.0,63,123046
-73.0,74,123120
-78.0,79,123199
-89.0,90,123289
-88.0,89,123378
-78.0,79,123457
-75.0,76,123533
-74.0,75,123608
-70.0,71,123679
-78.0,79,123758
-63.0,64,123822
-77.0,78,123900
-69.0,70,123970
-83.0,84,124054
-73.0,74,124128
-88.0,89,124217
-91.0,92,124309
-91.0,92,124401
-90.0,91,124492
-86.0,87,124579
-96.0,97,124676
-98.0,99,124775
-129.0,130,124905
-79.0,80,124985
-78.0,79,125064
-137.0,138,125202
-70.0,71,125273
-82.0,83,125356
-86.0,87,125443
-77.0,78,125521
-90.0,91,125612
-76.0,77,125689
-68.0,69,125758
-77.0,78,125836
-78.0,79,125915
-74.0,75,125990
-92.0,93,126083
-75.0,76,126159
-157.0,158,126317
-78.0,79,126396
-70.0,71,126467
-70.0,71,126538
-75.0,76,126614
-69.0,70,126684
-81.0,82,126766
-83.0,84,126850
-75.0,76,126926
-93.0,94,127020
-82.0,83,127103
-122.0,123,127226
-88.0,89,127315
-90.0,91,127406
-72.0,73,127479
-86.0,87,127566
-89.0,90,127656
-63.0,64,127720
-78.0,79,127799
-92.0,93,127892
-85.0,86,127978
-83.0,84,128062
-86.0,87,128149
-76.0,77,128226
-90.0,91,128317
-96.0,97,128414
-101.0,102,128516
-78.0,79,128595
-94.0,95,128690
-86.0,87,128777
-84.0,85,128862
-90.0,91,128953
-91.0,92,129045
-61.0,62,129107
-77.0,78,129185
-73.0,74,129259
-62.0,63,129322
-100.0,101,129423
-89.0,90,129513
-96.0,97,129610
-92.0,93,129703
-79.0,80,129783
-85.0,86,129869
-64.0,65,129934
-75.0,76,130010
-85.0,86,130096
-88.0,89,130185
-176.0,177,130362
-85.0,86,130448
-90.0,91,130539
-74.0,75,130614
-83.0,84,130698
-70.0,71,130769
-75.0,76,130845
-500.0,500,131345
-94.0,95,131440
-93.0,94,131534
-81.0,82,131616
-69.0,70,131686
-81.0,82,131768
-92.0,93,131861
-88.0,89,131950
-76.0,77,132027
-136.0,137,132164
-62.0,63,132227
-99.0,100,132327
-84.0,85,132412
-76.0,77,132489
-77.0,78,132567
-67.0,68,132635
-96.0,97,132732
-106.0,107,132839
-78.0,79,132918
-94.0,95,133013
-92.0,93,133106
-74.0,75,133181
-83.0,84,133265
-100.0,101,133366
-106.0,107,133473
-77.0,78,133551
-94.0,95,133646
-94.0,95,133741
-75.0,76,133817
-90.0,91,133908
-70.0,71,133979
-85.0,86,134065
-78.0,79,134144
-75.0,76,134220
-89.0,90,134310
-68.0,69,134379
-100.0,101,134480
-69.0,70,134550
-74.0,75,134625
-85.0,86,134711
-77.0,78,134789
-73.0,74,134863
-70.0,71,134934
-196.0,197,135131
-78.0,79,135210
-70.0,71,135281
-77.0,78,135359
-87.0,88,135447
-79.0,80,135527
-95.0,96,135623
-102.0,103,135726
-85.0,86,135812
-123.0,124,135936
-83.0,84,136020
-74.0,75,136095
-70.0,71,136166
-115.0,116,136282
-92.0,93,136375
-77.0,78,136453
-91.0,92,136545
-89.0,90,136635
-84.0,85,136720
-96.0,97,136817
-84.0,85,136902
-77.0,78,136980
-70.0,71,137051
-100.0,101,137152
-75.0,76,137228
-71.0,72,137300
-118.0,119,137419
-92.0,93,137512
-88.0,89,137601
-155.0,156,137757
-137.0,138,137895
-94.0,95,137990
-96.0,97,138087
-74.0,75,138162
-144.0,145,138307
-87.0,88,138395
-93.0,94,138489
-90.0,91,138580
-71.0,72,138652
-98.0,99,138751
-102.0,103,138854
-84.0,85,138939
-75.0,76,139015
-72.0,73,139088
-97.0,98,139186
-90.0,91,139277
-76.0,77,139354
-75.0,76,139430
-107.0,108,139538
-78.0,79,139617
-86.0,87,139704
-69.0,70,139774
-80.0,81,139855
-74.0,75,139930
-103.0,104,140034
-75.0,76,140110
-74.0,75,140185
-70.0,71,140256
-90.0,91,140347
-76.0,77,140424
-71.0,72,140496
-201.0,202,140698
-92.0,93,140791
-81.0,82,140873
-95.0,96,140969
-109.0,110,141079
-89.0,90,141169
-82.0,83,141252
-75.0,76,141328
-93.0,94,141422
-92.0,93,141515
-68.0,69,141584
-70.0,71,141655
-83.0,84,141739
-76.0,77,141816
-73.0,74,141890
-73.0,74,141964
-63.0,64,142028
-76.0,77,142105
-85.0,86,142191
-76.0,77,142268
-85.0,86,142354
-69.0,70,142424
-93.0,94,142518
-76.0,77,142595
-153.0,154,142749
-83.0,84,142833
-77.0,78,142911
-88.0,89,143000
-73.0,74,143074
-76.0,77,143151
-78.0,79,143230
-62.0,63,143293
-74.0,75,143368
-62.0,63,143431
-82.0,83,143514
-70.0,71,143585
-91.0,92,143677
-89.0,90,143767
-81.0,82,143849
-81.0,82,143931
-84.0,85,144016
-91.0,92,144108
-97.0,98,144206
-86.0,87,144293
-89.0,90,144383
-110.0,111,144494
-90.0,91,144585
-71.0,72,144657
-74.0,75,144732
-67.0,68,144800
-70.0,71,144871
-93.0,94,144965
-141.0,142,145107
-81.0,82,145189
-67.0,68,145257
