episode_reward,nb_episode_steps,nb_steps
-86.0,87,127030
-73.0,74,127104
-73.0,74,127178
-72.0,73,127251
-92.0,93,127344
-74.0,75,127419
-87.0,88,127507
-69.0,70,127577
-74.0,75,127652
-96.0,97,127749
-74.0,75,127824
-81.0,82,127906
-70.0,71,127977
-94.0,95,128072
-131.0,132,128204
-114.0,115,128319
-97.0,98,128417
-87.0,88,128505
-90.0,91,128596
-74.0,75,128671
-76.0,77,128748
-76.0,77,128825
-91.0,92,128917
-76.0,77,128994
-94.0,95,129089
-77.0,78,129167
-82.0,83,129250
-94.0,95,129345
-81.0,82,129427
-61.0,62,129489
-83.0,84,129573
-120.0,121,129694
-70.0,71,129765
-97.0,98,129863
-74.0,75,129938
-74.0,75,130013
-69.0,70,130083
-74.0,75,130158
-125.0,126,130284
-72.0,73,130357
-73.0,74,130431
-106.0,107,130538
-92.0,93,130631
-81.0,82,130713
-90.0,91,130804
-87.0,88,130892
-216.0,217,131109
-83.0,84,131193
-109.0,110,131303
-91.0,92,131395
-86.0,87,131482
-109.0,110,131592
-69.0,70,131662
-100.0,101,131763
-74.0,75,131838
-86.0,87,131925
-97.0,98,132023
-91.0,92,132115
-70.0,71,132186
-103.0,104,132290
-73.0,74,132364
-98.0,99,132463
-82.0,83,132546
-80.0,81,132627
-79.0,80,132707
-90.0,91,132798
-87.0,88,132886
-108.0,109,132995
-70.0,71,133066
-70.0,71,133137
-86.0,87,133224
-93.0,94,133318
-75.0,76,133394
-82.0,83,133477
-86.0,87,133564
-149.0,150,133714
-68.0,69,133783
-70.0,71,133854
-104.0,105,133959
-103.0,104,134063
-102.0,103,134166
-77.0,78,134244
-91.0,92,134336
-77.0,78,134414
-91.0,92,134506
-91.0,92,134598
-71.0,72,134670
-72.0,73,134743
-63.0,64,134807
-94.0,95,134902
-70.0,71,134973
-76.0,77,135050
-99.0,100,135150
-76.0,77,135227
-115.0,116,135343
-81.0,82,135425
-80.0,81,135506
-99.0,100,135606
-82.0,83,135689
-83.0,84,135773
-80.0,81,135854
-144.0,145,135999
-86.0,87,136086
-100.0,101,136187
-247.0,248,136435
-95.0,96,136531
-98.0,99,136630
-122.0,123,136753
-78.0,79,136832
-75.0,76,136908
-81.0,82,136990
-85.0,86,137076
-75.0,76,137152
-89.0,90,137242
-97.0,98,137340
-121.0,122,137462
-78.0,79,137541
-72.0,73,137614
-94.0,95,137709
-80.0,81,137790
-111.0,112,137902
-73.0,74,137976
-75.0,76,138052
-141.0,142,138194
-75.0,76,138270
-82.0,83,138353
-91.0,92,138445
-81.0,82,138527
-76.0,77,138604
-105.0,106,138710
-91.0,92,138802
-75.0,76,138878
-108.0,109,138987
-91.0,92,139079
-73.0,74,139153
-74.0,75,139228
-74.0,75,139303
-81.0,82,139385
-78.0,79,139464
-73.0,74,139538
-78.0,79,139617
-97.0,98,139715
-500.0,500,140215
-88.0,89,140304
-74.0,75,140379
-100.0,101,140480
-73.0,74,140554
-82.0,83,140637
-82.0,83,140720
-72.0,73,140793
-62.0,63,140856
-81.0,82,140938
-74.0,75,141013
-89.0,90,141103
-75.0,76,141179
-80.0,81,141260
-107.0,108,141368
-70.0,71,141439
-88.0,89,141528
-93.0,94,141622
-98.0,99,141721
-69.0,70,141791
-86.0,87,141878
-81.0,82,141960
-99.0,100,142060
-69.0,70,142130
-73.0,74,142204
-78.0,79,142283
-89.0,90,142373
-93.0,94,142467
-101.0,102,142569
-79.0,80,142649
-79.0,80,142729
-86.0,87,142816
-83.0,84,142900
-90.0,91,142991
-86.0,87,143078
-113.0,114,143192
-81.0,82,143274
-69.0,70,143344
-62.0,63,143407
-112.0,113,143520
-62.0,63,143583
-78.0,79,143662
-76.0,77,143739
-99.0,100,143839
-83.0,84,143923
-70.0,71,143994
-99.0,100,144094
-86.0,87,144181
-75.0,76,144257
-104.0,105,144362
-82.0,83,144445
-118.0,119,144564
-101.0,102,144666
-74.0,75,144741
-74.0,75,144816
-82.0,83,144899
-85.0,86,144985
-75.0,76,145061
-74.0,75,145136
-78.0,79,145215
-78.0,79,145294
-103.0,104,145398
-61.0,62,145460
-70.0,71,145531
-83.0,84,145615
-79.0,80,145695
-94.0,95,145790
-90.0,91,145881
-77.0,78,145959
-79.0,80,146039
-85.0,86,146125
